Ultralytics 8.3.105 🚀 Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)
video 1/1 (frame 197/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 198/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.4ms
video 1/1 (frame 199/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.3ms
video 1/1 (frame 200/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 201/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 202/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.0ms
video 1/1 (frame 203/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 8.3ms
video 1/1 (frame 204/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.0ms
video 1/1 (frame 205/615) /content/test/capstone (1).mp4: 384x640 (no detections), 8.4ms
video 1/1 (frame 206/615) /content/test/capstone (1).mp4: 384x640 (no detections), 7.9ms
video 1/1 (frame 207/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.1ms
video 1/1 (frame 208/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.0ms
video 1/1 (frame 209/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.3ms
video 1/1 (frame 210/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.1ms
video 1/1 (frame 211/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 12.5ms
video 1/1 (frame 212/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.3ms
video 1/1 (frame 213/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 1 Yes, 8.2ms
video 1/1 (frame 214/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.5ms
video 1/1 (frame 215/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.6ms
video 1/1 (frame 216/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.3ms
video 1/1 (frame 217/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.5ms
video 1/1 (frame 218/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.2ms
video 1/1 (frame 219/615) /content/test/capstone (1).mp4: 384x640 1 Hello, 1 No, 8.9ms
video 1/1 (frame 220/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.8ms
video 1/1 (frame 221/615) /content/test/capstone (1).mp4: 384x640 1 No, 8.0ms
